complaint_id,institution_id,received_date,complainant_doc_type,product_category,channel,motivo_code,severity,description_text,description_language,complainant_age_range,complainant_district,submission_method,original_reference_id,resolution_status
COP-2026-0000014,SBS-005678,2026-03-12,PASAPORTE,TARJETA_CREDITO,APP_MOVIL,DEMORA_ATENCION,HIGH,"COOPAC_DEMO_002 aplicó intereses no informados a mi tarjeta de crédito, lo que sumó S/ 190.38 adicionales en el último estado de cuenta del 2026-03-12.",es,OVER_64,150133,CAJERO,,pendiente
COP-2026-0000015,SBS-005678,2026-04-05,PASAPORTE,DEPOSITOS,CORREO,COBRO_INDEBIDO,LOW,Realicé una transferencia por correo electrónico el 2026-04-05 por S/ 927.03. El dinero salió de mi cuenta pero no llegó al destinatario.,es,UNDER_25,150101,WEB,,pendiente
COP-2026-0000016,SBS-005678,2026-04-18,DNI,DEPOSITOS,TELEFONO,INCUMPLIMIENTO_CONTRATO,LOW,El 2026-04-18 realicé un retiro por la línea telefónica de 101.06 soles y nunca recibí el dinero. COOPAC_DEMO_002 dice que la operación fue exitosa pero no es así.,es,UNDER_25,070101,CAJERO,,pendiente
COP-2026-0000017,SBS-005678,2026-05-09,DNI,COOPAC,AGENCIA,CALIDAD_SERVICIO,HIGH,Hay una demora excesiva en la atención de mi solicitud sobre cuenta de cooperativa. Llevo más de 30 días esperando respuesta sobre el cargo de 28.80.,es,55_64,150102,APP_MOVIL,,pendiente
COP-2026-0000018,SBS-005678,2026-05-08,PASAPORTE,TARJETA_CREDITO,TELEFONO,OPERACION_NO_RECONOCIDA,LOW,Realicé una transferencia por la línea telefónica el 2026-05-08 por S/ 135.39. El dinero salió de mi cuenta pero no llegó al destinatario.,es,45_54,150102,CAJERO,,pendiente
COP-2026-0000019,SBS-005678,2026-04-24,DNI,TARJETA_CREDITO,TELEFONO,INCUMPLIMIENTO_CONTRATO,CRITICAL,Mi reclamo previo no fue atendido por COOPAC_DEMO_002. Solicito una nueva revisión del caso relacionado con mi tarjeta de crédito y el cargo de S/ 291.40.,es,45_54,150102,APP_MOVIL,,pendiente
COP-2026-0000020,SBS-005678,2026-03-31,DNI,CREDITOS,CORREO,INCUMPLIMIENTO_CONTRATO,MEDIUM,El 2026-03-31 realicé un retiro por correo electrónico de 293.23 soles y nunca recibí el dinero. COOPAC_DEMO_002 dice que la operación fue exitosa pero no es así.,es,UNDER_25,040101,APP_MOVIL,,pendiente
COP-2026-0000021,SBS-005678,2026-04-03,CE,CREDITOS,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,LOW,Me cancelaron mi crédito sin previo aviso el 2026-04-03. Necesito conocer los motivos y recuperar el saldo de 6420.51 soles.,es,35_44,070101,POS,,pendiente
COP-2026-0000022,SBS-005678,2026-03-27,PASAPORTE,TARJETA_DEBITO,AGENCIA,COBRO_INDEBIDO,LOW,Solicité información sobre comisiones en mi tarjeta de débito el 2026-03-27. La información que me proporcionó COOPAC_DEMO_002 no coincide con lo que aparece en el contrato firmado.,es,55_64,140101,POS,,pendiente
COP-2026-0000023,SBS-005678,2026-03-20,RUC,TARJETA_CREDITO,AGENCIA,OPERACION_NO_RECONOCIDA,HIGH,Solicité información sobre comisiones en mi tarjeta de crédito el 2026-03-20. La información que me proporcionó COOPAC_DEMO_002 no coincide con lo que aparece en el contrato firmado.,es,25_34,150115,APP_MOVIL,,pendiente
COP-2026-0000024,SBS-005678,2026-04-18,DNI,CREDITOS,APP_MOVIL,OPERACION_NO_RECONOCIDA,CRITICAL,El 2026-04-18 realicé un retiro por la app móvil de 177.79 soles y nunca recibí el dinero. COOPAC_DEMO_002 dice que la operación fue exitosa pero no es así.,es,35_44,150111,POS,,pendiente
COP-2026-0000025,SBS-005678,2026-04-23,CE,TARJETA_CREDITO,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,HIGH,Mi reclamo previo no fue atendido por COOPAC_DEMO_002. Solicito una nueva revisión del caso relacionado con mi tarjeta de crédito y el cargo de S/ 1087.32.,es,OVER_64,150101,POS,,pendiente
COP-2026-0000026,SBS-005678,2026-02-26,PASAPORTE,TARJETA_DEBITO,TELEFONO,CALIDAD_SERVICIO,HIGH,"COOPAC_DEMO_002 aplicó intereses no informados a mi tarjeta de débito, lo que sumó S/ 271.16 adicionales en el último estado de cuenta del 2026-02-26.",es,55_64,040101,POS,,pendiente
COP-2026-0000027,SBS-005678,2026-04-23,DNI,TARJETA_CREDITO,APP_MOVIL,OPERACION_NO_RECONOCIDA,HIGH,El 2026-04-23 realicé un retiro por la app móvil de 774.52 soles y nunca recibí el dinero. COOPAC_DEMO_002 dice que la operación fue exitosa pero no es así.,es,25_34,140101,AGENCIA,,pendiente
COP-2026-0000028,SBS-005678,2026-05-19,DNI,TARJETA_CREDITO,WEB,COBRO_INDEBIDO,CRITICAL,"COOPAC_DEMO_002 aplicó intereses no informados a mi tarjeta de crédito, lo que sumó S/ 582.66 adicionales en el último estado de cuenta del 2026-05-19.",es,UNDER_25,150102,APP_MOVIL,,pendiente
COP-2026-0000029,SBS-005678,2026-04-04,CE,DEPOSITOS,AGENCIA,CALIDAD_SERVICIO,LOW,Hay una demora excesiva en la atención de mi solicitud sobre cuenta de depósitos. Llevo más de 30 días esperando respuesta sobre el cargo de 414.05.,es,45_54,070101,CAJERO,,pendiente
COP-2026-0000030,SBS-005678,2026-03-24,DNI,TARJETA_CREDITO,AGENCIA,CALIDAD_SERVICIO,LOW,Solicité información sobre comisiones en mi tarjeta de crédito el 2026-03-24. La información que me proporcionó COOPAC_DEMO_002 no coincide con lo que aparece en el contrato firmado.,es,25_34,150101,AGENCIA,,pendiente
COP-2026-0000031,SBS-005678,2026-02-21,DNI,CREDITOS,TELEFONO,DEMORA_ATENCION,LOW,Se realizó un cargo no autorizado por S/ 607.84 en mi crédito el 2026-02-21. Solicito la reversa inmediata y revisión del estado de cuenta.,es,25_34,040106,WEB,,pendiente
COP-2026-0000032,SBS-005678,2026-04-08,CE,TARJETA_CREDITO,WEB,DEMORA_ATENCION,HIGH,"La publicidad de mi tarjeta de crédito prometía cero comisiones, pero el 2026-04-08 me cobraron S/ 144.93 por mantenimiento. Esto es publicidad engañosa.",es,OVER_64,150133,AGENCIA,,pendiente
COP-2026-0000033,SBS-005678,2026-05-19,DNI,TARJETA_CREDITO,AGENCIA,INCUMPLIMIENTO_CONTRATO,MEDIUM,Mi tarjeta de crédito reporta movimientos que yo no he realizado por un total de S/ 674.74. Reporté el caso por agencia pero no he recibido respuesta de COOPAC_DEMO_002.,es,25_34,150111,AGENCIA,,pendiente
COP-2026-0000034,SBS-005678,2026-04-24,DNI,TARJETA_CREDITO,APP_MOVIL,CALIDAD_SERVICIO,CRITICAL,"COOPAC_DEMO_002 aplicó intereses no informados a mi tarjeta de crédito, lo que sumó S/ 51.89 adicionales en el último estado de cuenta del 2026-04-24.",es,OVER_64,150102,APP_MOVIL,,pendiente
COP-2026-0000035,SBS-005678,2026-05-17,DNI,COOPAC,WEB,DEMORA_ATENCION,HIGH,El cobro de membresía anual en mi cuenta de cooperativa por S/ 220.20 no estaba acordado. Pido la devolución y aclaración de los términos.,es,OVER_64,040106,WEB,,pendiente
COP-2026-0000036,SBS-005678,2026-03-08,CE,OTRO,AGENCIA,INCUMPLIMIENTO_CONTRATO,LOW,El día 2026-03-08 intenté realizar una operación de 144.18 soles por agencia y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,45_54,040101,POS,,pendiente
COP-2026-0000037,SBS-005678,2026-02-27,DNI,TARJETA_CREDITO,WEB,COBRO_INDEBIDO,HIGH,Hay una demora excesiva en la atención de mi solicitud sobre tarjeta de crédito. Llevo más de 30 días esperando respuesta sobre el cargo de 252.56.,es,OVER_64,150111,APP_MOVIL,,pendiente
COP-2026-0000038,SBS-005678,2026-04-27,DNI,CREDITOS,CORREO,INCUMPLIMIENTO_CONTRATO,HIGH,El cobro de membresía anual en mi crédito por S/ 413.36 no estaba acordado. Pido la devolución y aclaración de los términos.,es,OVER_64,150107,POS,,pendiente
COP-2026-0000039,SBS-005678,2026-03-11,RUC,TARJETA_CREDITO,TELEFONO,INCUMPLIMIENTO_CONTRATO,HIGH,El día 2026-03-11 intenté realizar una operación de 326.14 soles por la línea telefónica y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,45_54,150133,CAJERO,,pendiente
COP-2026-0000040,SBS-005678,2026-04-26,CE,DEPOSITOS,APP_MOVIL,DEMORA_ATENCION,CRITICAL,Hay una demora excesiva en la atención de mi solicitud sobre cuenta de depósitos. Llevo más de 30 días esperando respuesta sobre el cargo de 761.52.,es,OVER_64,150111,CAJERO,,pendiente
COP-2026-0000041,SBS-005678,2026-03-31,DNI,CREDITOS,WEB,CALIDAD_SERVICIO,HIGH,"COOPAC_DEMO_002 aplicó intereses no informados a mi crédito, lo que sumó S/ 96.40 adicionales en el último estado de cuenta del 2026-03-31.",es,55_64,150111,AGENCIA,,pendiente
COP-2026-0000042,SBS-005678,2026-04-05,RUC,COOPAC,APP_MOVIL,CALIDAD_SERVICIO,LOW,Hay una demora excesiva en la atención de mi solicitud sobre cuenta de cooperativa. Llevo más de 30 días esperando respuesta sobre el cargo de 253.68.,es,55_64,040106,AGENCIA,,pendiente
COP-2026-0000043,SBS-005678,2026-03-20,DNI,SEGUROS,AGENCIA,INCUMPLIMIENTO_CONTRATO,CRITICAL,Solicité información sobre comisiones en mi seguro el 2026-03-20. La información que me proporcionó COOPAC_DEMO_002 no coincide con lo que aparece en el contrato firmado.,es,55_64,150115,POS,,pendiente
COP-2026-0000044,SBS-005678,2026-04-15,PASAPORTE,DEPOSITOS,APP_MOVIL,OPERACION_NO_RECONOCIDA,CRITICAL,Hay una demora excesiva en la atención de mi solicitud sobre cuenta de depósitos. Llevo más de 30 días esperando respuesta sobre el cargo de 303.15.,es,35_44,040101,WEB,,pendiente
COP-2026-0000045,SBS-005678,2026-03-23,CE,TARJETA_CREDITO,AGENCIA,DEMORA_ATENCION,MEDIUM,Solicité información sobre comisiones en mi tarjeta de crédito el 2026-03-23. La información que me proporcionó COOPAC_DEMO_002 no coincide con lo que aparece en el contrato firmado.,es,45_54,150102,APP_MOVIL,,pendiente
COP-2026-0000046,SBS-005678,2026-04-22,DNI,TARJETA_CREDITO,APP_MOVIL,CALIDAD_SERVICIO,LOW,Solicité información sobre comisiones en mi tarjeta de crédito el 2026-04-22. La información que me proporcionó COOPAC_DEMO_002 no coincide con lo que aparece en el contrato firmado.,es,UNDER_25,140101,WEB,,pendiente
COP-2026-0000047,SBS-005678,2026-03-26,DNI,CREDITOS,WEB,OPERACION_NO_RECONOCIDA,HIGH,Hay una demora excesiva en la atención de mi solicitud sobre crédito. Llevo más de 30 días esperando respuesta sobre el cargo de 2612.63.,es,UNDER_25,150101,WEB,,pendiente
COP-2026-0000048,SBS-005678,2026-04-27,DNI,SEGUROS,APP_MOVIL,DEMORA_ATENCION,LOW,Solicité información sobre comisiones en mi seguro el 2026-04-27. La información que me proporcionó COOPAC_DEMO_002 no coincide con lo que aparece en el contrato firmado.,es,45_54,150115,AGENCIA,,pendiente
COP-2026-0000049,SBS-005678,2026-05-16,DNI,SEGUROS,APP_MOVIL,CALIDAD_SERVICIO,HIGH,El cobro de membresía anual en mi seguro por S/ 1122.60 no estaba acordado. Pido la devolución y aclaración de los términos.,es,25_34,150133,WEB,,pendiente
COP-2026-0000050,SBS-005678,2026-03-14,PASAPORTE,TARJETA_CREDITO,TELEFONO,INCUMPLIMIENTO_CONTRATO,HIGH,Me cancelaron mi tarjeta de crédito sin previo aviso el 2026-03-14. Necesito conocer los motivos y recuperar el saldo de 217.39 soles.,es,OVER_64,150115,WEB,,pendiente
COP-2026-0000051,SBS-005678,2026-05-01,DNI,TARJETA_DEBITO,WEB,DEMORA_ATENCION,LOW,El día 2026-05-01 intenté realizar una operación de 205.87 soles por la web y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,55_64,150102,AGENCIA,,pendiente
COP-2026-0000052,SBS-005678,2026-03-15,CE,CREDITOS,AGENCIA,OPERACION_NO_RECONOCIDA,HIGH,Mi crédito reporta movimientos que yo no he realizado por un total de S/ 2564.11. Reporté el caso por agencia pero no he recibido respuesta de COOPAC_DEMO_002.,es,45_54,150111,WEB,,pendiente
COP-2026-0000053,SBS-005678,2026-04-25,CE,TARJETA_CREDITO,AGENCIA,COBRO_INDEBIDO,HIGH,"COOPAC_DEMO_002 aplicó intereses no informados a mi tarjeta de crédito, lo que sumó S/ 2967.61 adicionales en el último estado de cuenta del 2026-04-25.",es,UNDER_25,040106,AGENCIA,,pendiente
COP-2026-0000054,SBS-005678,2026-04-22,DNI,DEPOSITOS,AGENCIA,DEMORA_ATENCION,LOW,Solicité información sobre comisiones en mi cuenta de depósitos el 2026-04-22. La información que me proporcionó COOPAC_DEMO_002 no coincide con lo que aparece en el contrato firmado.,es,45_54,150107,AGENCIA,,pendiente
COP-2026-0000055,SBS-005678,2026-04-10,DNI,CREDITOS,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,CRITICAL,El 2026-04-10 realicé un retiro por la app móvil de 70.49 soles y nunca recibí el dinero. COOPAC_DEMO_002 dice que la operación fue exitosa pero no es así.,es,UNDER_25,150115,CAJERO,,pendiente
COP-2026-0000056,SBS-005678,2026-03-31,PASAPORTE,TARJETA_DEBITO,WEB,CALIDAD_SERVICIO,LOW,El cobro de membresía anual en mi tarjeta de débito por S/ 499.43 no estaba acordado. Pido la devolución y aclaración de los términos.,es,35_44,150101,AGENCIA,,pendiente
COP-2026-0000057,SBS-005678,2026-04-28,DNI,TARJETA_CREDITO,AGENCIA,CALIDAD_SERVICIO,HIGH,El cobro de membresía anual en mi tarjeta de crédito por S/ 1007.24 no estaba acordado. Pido la devolución y aclaración de los términos.,es,45_54,040106,AGENCIA,,pendiente
COP-2026-0000058,SBS-005678,2026-04-13,CE,TARJETA_CREDITO,APP_MOVIL,OPERACION_NO_RECONOCIDA,HIGH,Hay una demora excesiva en la atención de mi solicitud sobre tarjeta de crédito. Llevo más de 30 días esperando respuesta sobre el cargo de 167.27.,es,UNDER_25,140101,POS,,pendiente
COP-2026-0000059,SBS-005678,2026-05-18,DNI,TARJETA_DEBITO,WEB,CALIDAD_SERVICIO,HIGH,"La publicidad de mi tarjeta de débito prometía cero comisiones, pero el 2026-05-18 me cobraron S/ 952.16 por mantenimiento. Esto es publicidad engañosa.",es,25_34,150111,WEB,,pendiente
COP-2026-0000060,SBS-005678,2026-04-21,DNI,SEGUROS,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,MEDIUM,Solicité información sobre comisiones en mi seguro el 2026-04-21. La información que me proporcionó COOPAC_DEMO_002 no coincide con lo que aparece en el contrato firmado.,es,UNDER_25,070101,AGENCIA,,pendiente
COP-2026-0000061,SBS-005678,2026-02-26,CE,TARJETA_CREDITO,APP_MOVIL,CALIDAD_SERVICIO,HIGH,Realicé una transferencia por la app móvil el 2026-02-26 por S/ 1210.60. El dinero salió de mi cuenta pero no llegó al destinatario.,es,35_44,150107,CAJERO,,pendiente
COP-2026-0000062,SBS-005678,2026-04-05,DNI,TARJETA_CREDITO,APP_MOVIL,COBRO_INDEBIDO,CRITICAL,"COOPAC_DEMO_002 aplicó intereses no informados a mi tarjeta de crédito, lo que sumó S/ 576.75 adicionales en el último estado de cuenta del 2026-04-05.",es,45_54,150107,AGENCIA,,pendiente
COP-2026-0000063,SBS-005678,2026-04-07,RUC,TARJETA_CREDITO,AGENCIA,CALIDAD_SERVICIO,HIGH,Se realizó un cargo no autorizado por S/ 177.83 en mi tarjeta de crédito el 2026-04-07. Solicito la reversa inmediata y revisión del estado de cuenta.,es,55_64,140101,POS,,pendiente
COP-2026-0000064,SBS-005678,2026-03-09,PASAPORTE,TARJETA_DEBITO,WEB,CALIDAD_SERVICIO,CRITICAL,El cobro de membresía anual en mi tarjeta de débito por S/ 568.51 no estaba acordado. Pido la devolución y aclaración de los términos.,es,UNDER_25,040101,POS,,pendiente
COP-2026-0000065,SBS-005678,2026-04-11,RUC,TARJETA_CREDITO,APP_MOVIL,DEMORA_ATENCION,HIGH,Realicé una transferencia por la app móvil el 2026-04-11 por S/ 314.09. El dinero salió de mi cuenta pero no llegó al destinatario.,es,UNDER_25,070101,APP_MOVIL,,pendiente
COP-2026-0000066,SBS-005678,2026-05-08,PASAPORTE,TARJETA_DEBITO,TELEFONO,INCUMPLIMIENTO_CONTRATO,HIGH,"La publicidad de mi tarjeta de débito prometía cero comisiones, pero el 2026-05-08 me cobraron S/ 59.15 por mantenimiento. Esto es publicidad engañosa.",es,25_34,070101,WEB,,pendiente
COP-2026-0000067,SBS-005678,2026-04-24,CE,CREDITOS,WEB,COBRO_INDEBIDO,LOW,"La publicidad de mi crédito prometía cero comisiones, pero el 2026-04-24 me cobraron S/ 196.60 por mantenimiento. Esto es publicidad engañosa.",es,35_44,150102,CAJERO,,pendiente
COP-2026-0000068,SBS-005678,2026-03-14,PASAPORTE,CREDITOS,APP_MOVIL,COBRO_INDEBIDO,HIGH,Realicé una transferencia por la app móvil el 2026-03-14 por S/ 422.02. El dinero salió de mi cuenta pero no llegó al destinatario.,es,45_54,150107,AGENCIA,,pendiente
COP-2026-0000069,SBS-005678,2026-03-09,DNI,TARJETA_DEBITO,WEB,DEMORA_ATENCION,MEDIUM,Mi tarjeta de débito reporta movimientos que yo no he realizado por un total de S/ 270.59. Reporté el caso por la web pero no he recibido respuesta de COOPAC_DEMO_002.,es,35_44,150133,AGENCIA,,pendiente
COP-2026-0000070,SBS-005678,2026-04-07,DNI,TARJETA_CREDITO,TELEFONO,OPERACION_NO_RECONOCIDA,HIGH,"COOPAC_DEMO_002 aplicó intereses no informados a mi tarjeta de crédito, lo que sumó S/ 634.32 adicionales en el último estado de cuenta del 2026-04-07.",es,UNDER_25,150115,POS,,pendiente
COP-2026-0000071,SBS-005678,2026-05-19,CE,TARJETA_DEBITO,WEB,OPERACION_NO_RECONOCIDA,HIGH,Se realizó un cargo no autorizado por S/ 755.70 en mi tarjeta de débito el 2026-05-19. Solicito la reversa inmediata y revisión del estado de cuenta.,es,55_64,150101,AGENCIA,,pendiente
COP-2026-0000072,SBS-005678,2026-04-19,DNI,CREDITOS,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,MEDIUM,Se realizó un cargo no autorizado por S/ 105.67 en mi crédito el 2026-04-19. Solicito la reversa inmediata y revisión del estado de cuenta.,es,55_64,150133,WEB,,pendiente
COP-2026-0000073,SBS-005678,2026-03-13,PASAPORTE,TARJETA_CREDITO,AGENCIA,COBRO_INDEBIDO,HIGH,El cobro de membresía anual en mi tarjeta de crédito por S/ 120.96 no estaba acordado. Pido la devolución y aclaración de los términos.,es,55_64,150133,CAJERO,,pendiente
COP-2026-0000074,SBS-005678,2026-03-26,PASAPORTE,TARJETA_DEBITO,AGENCIA,COBRO_INDEBIDO,LOW,Realicé una transferencia por agencia el 2026-03-26 por S/ 220.17. El dinero salió de mi cuenta pero no llegó al destinatario.,es,45_54,150107,WEB,,pendiente
COP-2026-0000075,SBS-005678,2026-03-06,DNI,CREDITOS,AGENCIA,CALIDAD_SERVICIO,LOW,Me cancelaron mi crédito sin previo aviso el 2026-03-06. Necesito conocer los motivos y recuperar el saldo de 115.72 soles.,es,35_44,150101,APP_MOVIL,,pendiente
COP-2026-0000076,SBS-005678,2026-03-01,DNI,TARJETA_CREDITO,APP_MOVIL,OPERACION_NO_RECONOCIDA,CRITICAL,Me cancelaron mi tarjeta de crédito sin previo aviso el 2026-03-01. Necesito conocer los motivos y recuperar el saldo de 132.37 soles.,es,25_34,150111,CAJERO,,pendiente
COP-2026-0000077,SBS-005678,2026-03-28,PASAPORTE,OTRO,WEB,OPERACION_NO_RECONOCIDA,HIGH,El 2026-03-28 realicé un retiro por la web de 53.74 soles y nunca recibí el dinero. COOPAC_DEMO_002 dice que la operación fue exitosa pero no es así.,es,25_34,150107,POS,,pendiente
COP-2026-0000078,SBS-005678,2026-03-11,DNI,TARJETA_CREDITO,TELEFONO,OPERACION_NO_RECONOCIDA,MEDIUM,Se realizó un cargo no autorizado por S/ 2738.58 en mi tarjeta de crédito el 2026-03-11. Solicito la reversa inmediata y revisión del estado de cuenta.,es,OVER_64,150133,AGENCIA,,pendiente
COP-2026-0000079,SBS-005678,2026-04-07,DNI,TARJETA_CREDITO,APP_MOVIL,CALIDAD_SERVICIO,HIGH,Hay una demora excesiva en la atención de mi solicitud sobre tarjeta de crédito. Llevo más de 30 días esperando respuesta sobre el cargo de 1369.19.,es,45_54,150101,WEB,,pendiente
COP-2026-0000080,SBS-005678,2026-03-29,DNI,TARJETA_DEBITO,TELEFONO,CALIDAD_SERVICIO,HIGH,El día 2026-03-29 intenté realizar una operación de 411.43 soles por la línea telefónica y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,OVER_64,150102,APP_MOVIL,,pendiente
COP-2026-0000081,SBS-005678,2026-03-03,DNI,TARJETA_DEBITO,APP_MOVIL,COBRO_INDEBIDO,HIGH,Solicité información sobre comisiones en mi tarjeta de débito el 2026-03-03. La información que me proporcionó COOPAC_DEMO_002 no coincide con lo que aparece en el contrato firmado.,es,35_44,140101,APP_MOVIL,,pendiente
COP-2026-0000082,SBS-005678,2026-02-21,CE,TARJETA_CREDITO,APP_MOVIL,OPERACION_NO_RECONOCIDA,MEDIUM,Hay una demora excesiva en la atención de mi solicitud sobre tarjeta de crédito. Llevo más de 30 días esperando respuesta sobre el cargo de 197.55.,es,OVER_64,150115,AGENCIA,,pendiente
COP-2026-0000083,SBS-005678,2026-04-12,CE,TARJETA_CREDITO,APP_MOVIL,COBRO_INDEBIDO,MEDIUM,Mi tarjeta de crédito reporta movimientos que yo no he realizado por un total de S/ 102.75. Reporté el caso por la app móvil pero no he recibido respuesta de COOPAC_DEMO_002.,es,25_34,150115,AGENCIA,,pendiente
COP-2026-0000084,SBS-005678,2026-04-26,RUC,TARJETA_DEBITO,APP_MOVIL,OPERACION_NO_RECONOCIDA,HIGH,Mi reclamo previo no fue atendido por COOPAC_DEMO_002. Solicito una nueva revisión del caso relacionado con mi tarjeta de débito y el cargo de S/ 676.94.,es,55_64,040101,WEB,,pendiente
COP-2026-0000085,SBS-005678,2026-03-31,CE,TARJETA_DEBITO,TELEFONO,INCUMPLIMIENTO_CONTRATO,MEDIUM,El día 2026-03-31 intenté realizar una operación de 835.80 soles por la línea telefónica y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,45_54,140101,POS,,pendiente
COP-2026-0000086,SBS-005678,2026-02-24,RUC,DEPOSITOS,APP_MOVIL,CALIDAD_SERVICIO,LOW,Hay una demora excesiva en la atención de mi solicitud sobre cuenta de depósitos. Llevo más de 30 días esperando respuesta sobre el cargo de 139.99.,es,35_44,040101,CAJERO,,pendiente
COP-2026-0000087,SBS-005678,2026-04-13,RUC,TARJETA_CREDITO,AGENCIA,OPERACION_NO_RECONOCIDA,CRITICAL,"La publicidad de mi tarjeta de crédito prometía cero comisiones, pero el 2026-04-13 me cobraron S/ 586.82 por mantenimiento. Esto es publicidad engañosa.",es,OVER_64,150111,WEB,,pendiente
COP-2026-0000088,SBS-005678,2026-03-03,RUC,DEPOSITOS,AGENCIA,COBRO_INDEBIDO,LOW,"La publicidad de mi cuenta de depósitos prometía cero comisiones, pero el 2026-03-03 me cobraron S/ 291.22 por mantenimiento. Esto es publicidad engañosa.",es,25_34,150115,CAJERO,,pendiente
