complaint_id,institution_id,received_date,complainant_doc_type,product_category,channel,motivo_code,severity,description_text,description_language,complainant_age_range,complainant_district,submission_method,original_reference_id,resolution_status
FIN-2026-0000011,SBS-009012,2026-05-16,DNI,CREDITOS,TELEFONO,COBRO_INDEBIDO,HIGH,Mi reclamo previo no fue atendido por FINANCIERA_DEMO_003. Solicito una nueva revisión del caso relacionado con mi crédito y el cargo de S/ 165.12.,es,OVER_64,140101,APP_MOVIL,,pendiente
FIN-2026-0000012,SBS-009012,2026-04-10,DNI,DEPOSITOS,PRESENCIAL_SBS,DEMORA_ATENCION,LOW,"FINANCIERA_DEMO_003 aplicó intereses no informados a mi cuenta de depósitos, lo que sumó S/ 441.18 adicionales en el último estado de cuenta del 2026-04-10.",es,55_64,070101,APP_MOVIL,,pendiente
FIN-2026-0000013,SBS-009012,2026-04-24,DNI,CREDITOS,APP_MOVIL,DEMORA_ATENCION,HIGH,Mi crédito reporta movimientos que yo no he realizado por un total de S/ 137.50. Reporté el caso por la app móvil pero no he recibido respuesta de FINANCIERA_DEMO_003.,es,45_54,040101,WEB,,pendiente
FIN-2026-0000014,SBS-009012,2026-03-19,DNI,AFP_PENSIONES,WEB,COBRO_INDEBIDO,HIGH,El cobro de membresía anual en mi fondo de pensiones por S/ 180.67 no estaba acordado. Pido la devolución y aclaración de los términos.,es,25_34,140101,WEB,,pendiente
FIN-2026-0000015,SBS-009012,2026-03-02,DNI,TARJETA_CREDITO,CORREO,CALIDAD_SERVICIO,MEDIUM,Me cancelaron mi tarjeta de crédito sin previo aviso el 2026-03-02. Necesito conocer los motivos y recuperar el saldo de 312.86 soles.,es,55_64,040106,AGENCIA,,pendiente
FIN-2026-0000016,SBS-009012,2026-02-25,RUC,CREDITOS,CORREO,DEMORA_ATENCION,LOW,Realicé una transferencia por correo electrónico el 2026-02-25 por S/ 1667.31. El dinero salió de mi cuenta pero no llegó al destinatario.,es,25_34,150111,CAJERO,,pendiente
FIN-2026-0000017,SBS-009012,2026-05-17,RUC,CREDITOS,APP_MOVIL,COBRO_INDEBIDO,MEDIUM,Realicé una transferencia por la app móvil el 2026-05-17 por S/ 102.99. El dinero salió de mi cuenta pero no llegó al destinatario.,es,UNDER_25,070101,APP_MOVIL,,pendiente
FIN-2026-0000018,SBS-009012,2026-03-25,DNI,CREDITOS,WEB,INCUMPLIMIENTO_CONTRATO,HIGH,El cobro de membresía anual en mi crédito por S/ 655.98 no estaba acordado. Pido la devolución y aclaración de los términos.,es,OVER_64,150101,AGENCIA,,pendiente
FIN-2026-0000019,SBS-009012,2026-02-23,DNI,CREDITOS,APP_MOVIL,COBRO_INDEBIDO,MEDIUM,Realicé una transferencia por la app móvil el 2026-02-23 por S/ 273.18. El dinero salió de mi cuenta pero no llegó al destinatario.,es,55_64,150133,APP_MOVIL,,pendiente
FIN-2026-0000020,SBS-009012,2026-04-06,PASAPORTE,TARJETA_CREDITO,AGENCIA,COBRO_INDEBIDO,LOW,Hay una demora excesiva en la atención de mi solicitud sobre tarjeta de crédito. Llevo más de 30 días esperando respuesta sobre el cargo de 532.13.,es,35_44,140101,APP_MOVIL,,pendiente
FIN-2026-0000021,SBS-009012,2026-04-04,DNI,OTRO,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,HIGH,Mi producto bancario reporta movimientos que yo no he realizado por un total de S/ 177.19. Reporté el caso por la app móvil pero no he recibido respuesta de FINANCIERA_DEMO_003.,es,55_64,150115,POS,,pendiente
FIN-2026-0000022,SBS-009012,2026-03-16,DNI,TARJETA_CREDITO,APP_MOVIL,CALIDAD_SERVICIO,HIGH,"La publicidad de mi tarjeta de crédito prometía cero comisiones, pero el 2026-03-16 me cobraron S/ 58.58 por mantenimiento. Esto es publicidad engañosa.",es,25_34,040101,WEB,,pendiente
FIN-2026-0000023,SBS-009012,2026-03-15,RUC,CREDITOS,CORREO,DEMORA_ATENCION,CRITICAL,Solicité información sobre comisiones en mi crédito el 2026-03-15. La información que me proporcionó FINANCIERA_DEMO_003 no coincide con lo que aparece en el contrato firmado.,es,55_64,140101,POS,,pendiente
FIN-2026-0000024,SBS-009012,2026-02-22,RUC,TARJETA_CREDITO,APP_MOVIL,OPERACION_NO_RECONOCIDA,CRITICAL,"La publicidad de mi tarjeta de crédito prometía cero comisiones, pero el 2026-02-22 me cobraron S/ 300.75 por mantenimiento. Esto es publicidad engañosa.",es,25_34,040106,POS,,pendiente
FIN-2026-0000025,SBS-009012,2026-03-25,DNI,DEPOSITOS,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,HIGH,Me cancelaron mi cuenta de depósitos sin previo aviso el 2026-03-25. Necesito conocer los motivos y recuperar el saldo de 126.47 soles.,es,35_44,140101,AGENCIA,,pendiente
FIN-2026-0000026,SBS-009012,2026-05-05,DNI,TARJETA_CREDITO,CORREO,DEMORA_ATENCION,HIGH,Mi tarjeta de crédito reporta movimientos que yo no he realizado por un total de S/ 32.31. Reporté el caso por correo electrónico pero no he recibido respuesta de FINANCIERA_DEMO_003.,es,OVER_64,150133,WEB,,pendiente
FIN-2026-0000027,SBS-009012,2026-04-06,RUC,TARJETA_CREDITO,AGENCIA,OPERACION_NO_RECONOCIDA,MEDIUM,"FINANCIERA_DEMO_003 aplicó intereses no informados a mi tarjeta de crédito, lo que sumó S/ 54.79 adicionales en el último estado de cuenta del 2026-04-06.",es,UNDER_25,150102,WEB,,pendiente
FIN-2026-0000028,SBS-009012,2026-04-27,CE,TARJETA_DEBITO,TELEFONO,DEMORA_ATENCION,CRITICAL,El cobro de membresía anual en mi tarjeta de débito por S/ 885.21 no estaba acordado. Pido la devolución y aclaración de los términos.,es,OVER_64,150107,CAJERO,,pendiente
FIN-2026-0000029,SBS-009012,2026-03-10,DNI,TARJETA_CREDITO,APP_MOVIL,COBRO_INDEBIDO,LOW,Mi tarjeta de crédito reporta movimientos que yo no he realizado por un total de S/ 1269.42. Reporté el caso por la app móvil pero no he recibido respuesta de FINANCIERA_DEMO_003.,es,55_64,040101,APP_MOVIL,,pendiente
FIN-2026-0000030,SBS-009012,2026-02-20,DNI,TARJETA_CREDITO,APP_MOVIL,COBRO_INDEBIDO,MEDIUM,El día 2026-02-20 intenté realizar una operación de 194.87 soles por la app móvil y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,45_54,150115,POS,,pendiente
FIN-2026-0000031,SBS-009012,2026-04-29,PASAPORTE,TARJETA_DEBITO,APP_MOVIL,CALIDAD_SERVICIO,MEDIUM,Hay una demora excesiva en la atención de mi solicitud sobre tarjeta de débito. Llevo más de 30 días esperando respuesta sobre el cargo de 51.37.,es,55_64,140101,CAJERO,,pendiente
FIN-2026-0000032,SBS-009012,2026-03-16,PASAPORTE,TARJETA_DEBITO,WEB,INCUMPLIMIENTO_CONTRATO,MEDIUM,Solicité información sobre comisiones en mi tarjeta de débito el 2026-03-16. La información que me proporcionó FINANCIERA_DEMO_003 no coincide con lo que aparece en el contrato firmado.,es,45_54,070101,POS,,pendiente
FIN-2026-0000033,SBS-009012,2026-05-02,PASAPORTE,COOPAC,WEB,OPERACION_NO_RECONOCIDA,HIGH,Mi reclamo previo no fue atendido por FINANCIERA_DEMO_003. Solicito una nueva revisión del caso relacionado con mi cuenta de cooperativa y el cargo de S/ 562.34.,es,OVER_64,150101,APP_MOVIL,,pendiente
FIN-2026-0000034,SBS-009012,2026-05-11,RUC,SEGUROS,AGENCIA,COBRO_INDEBIDO,HIGH,Mi seguro reporta movimientos que yo no he realizado por un total de S/ 52.29. Reporté el caso por agencia pero no he recibido respuesta de FINANCIERA_DEMO_003.,es,25_34,040101,CAJERO,,pendiente
FIN-2026-0000035,SBS-009012,2026-03-21,RUC,AFP_PENSIONES,AGENCIA,CALIDAD_SERVICIO,HIGH,El 2026-03-21 realicé un retiro por agencia de 163.50 soles y nunca recibí el dinero. FINANCIERA_DEMO_003 dice que la operación fue exitosa pero no es así.,es,45_54,150115,CAJERO,,pendiente
FIN-2026-0000036,SBS-009012,2026-04-14,PASAPORTE,CREDITOS,WEB,INCUMPLIMIENTO_CONTRATO,CRITICAL,El cobro de membresía anual en mi crédito por S/ 113.42 no estaba acordado. Pido la devolución y aclaración de los términos.,es,55_64,070101,WEB,,pendiente
FIN-2026-0000037,SBS-009012,2026-04-27,CE,TARJETA_CREDITO,AGENCIA,OPERACION_NO_RECONOCIDA,MEDIUM,Me cancelaron mi tarjeta de crédito sin previo aviso el 2026-04-27. Necesito conocer los motivos y recuperar el saldo de 325.15 soles.,es,25_34,040101,APP_MOVIL,,pendiente
FIN-2026-0000038,SBS-009012,2026-05-19,CE,AFP_PENSIONES,WEB,INCUMPLIMIENTO_CONTRATO,MEDIUM,El 2026-05-19 realicé un retiro por la web de 171.58 soles y nunca recibí el dinero. FINANCIERA_DEMO_003 dice que la operación fue exitosa pero no es así.,es,UNDER_25,150111,POS,,pendiente
FIN-2026-0000039,SBS-009012,2026-05-03,DNI,CREDITOS,AGENCIA,OPERACION_NO_RECONOCIDA,HIGH,El día 2026-05-03 intenté realizar una operación de 569.85 soles por agencia y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,UNDER_25,070101,AGENCIA,,pendiente
FIN-2026-0000040,SBS-009012,2026-04-10,RUC,TARJETA_CREDITO,CORREO,CALIDAD_SERVICIO,HIGH,El cobro de membresía anual en mi tarjeta de crédito por S/ 1149.98 no estaba acordado. Pido la devolución y aclaración de los términos.,es,55_64,150101,CAJERO,,pendiente
FIN-2026-0000041,SBS-009012,2026-04-24,DNI,TARJETA_DEBITO,CORREO,COBRO_INDEBIDO,CRITICAL,El día 2026-04-24 intenté realizar una operación de 137.61 soles por correo electrónico y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,UNDER_25,040101,POS,,pendiente
FIN-2026-0000042,SBS-009012,2026-03-05,DNI,COOPAC,APP_MOVIL,OPERACION_NO_RECONOCIDA,MEDIUM,Solicité información sobre comisiones en mi cuenta de cooperativa el 2026-03-05. La información que me proporcionó FINANCIERA_DEMO_003 no coincide con lo que aparece en el contrato firmado.,es,OVER_64,150101,CAJERO,,pendiente
FIN-2026-0000043,SBS-009012,2026-03-28,DNI,TARJETA_DEBITO,APP_MOVIL,COBRO_INDEBIDO,HIGH,Hay una demora excesiva en la atención de mi solicitud sobre tarjeta de débito. Llevo más de 30 días esperando respuesta sobre el cargo de 71.56.,es,45_54,150101,WEB,,pendiente
FIN-2026-0000044,SBS-009012,2026-04-23,DNI,CREDITOS,TELEFONO,CALIDAD_SERVICIO,CRITICAL,El 2026-04-23 realicé un retiro por la línea telefónica de 1169.96 soles y nunca recibí el dinero. FINANCIERA_DEMO_003 dice que la operación fue exitosa pero no es así.,es,UNDER_25,140101,WEB,,pendiente
FIN-2026-0000045,SBS-009012,2026-04-09,DNI,DEPOSITOS,WEB,INCUMPLIMIENTO_CONTRATO,CRITICAL,"La publicidad de mi cuenta de depósitos prometía cero comisiones, pero el 2026-04-09 me cobraron S/ 192.24 por mantenimiento. Esto es publicidad engañosa.",es,25_34,040101,CAJERO,,pendiente
FIN-2026-0000046,SBS-009012,2026-05-14,PASAPORTE,DEPOSITOS,TELEFONO,CALIDAD_SERVICIO,CRITICAL,Me cancelaron mi cuenta de depósitos sin previo aviso el 2026-05-14. Necesito conocer los motivos y recuperar el saldo de 744.75 soles.,es,45_54,150102,WEB,,pendiente
FIN-2026-0000047,SBS-009012,2026-05-19,DNI,AFP_PENSIONES,APP_MOVIL,COBRO_INDEBIDO,CRITICAL,Se realizó un cargo no autorizado por S/ 359.23 en mi fondo de pensiones el 2026-05-19. Solicito la reversa inmediata y revisión del estado de cuenta.,es,55_64,070101,AGENCIA,,pendiente
FIN-2026-0000048,SBS-009012,2026-04-02,PASAPORTE,DEPOSITOS,APP_MOVIL,OPERACION_NO_RECONOCIDA,LOW,Realicé una transferencia por la app móvil el 2026-04-02 por S/ 21.93. El dinero salió de mi cuenta pero no llegó al destinatario.,es,UNDER_25,040106,AGENCIA,,pendiente
FIN-2026-0000049,SBS-009012,2026-02-23,CE,TARJETA_CREDITO,WEB,DEMORA_ATENCION,CRITICAL,El 2026-02-23 realicé un retiro por la web de 136.78 soles y nunca recibí el dinero. FINANCIERA_DEMO_003 dice que la operación fue exitosa pero no es así.,es,35_44,150115,APP_MOVIL,,pendiente
FIN-2026-0000050,SBS-009012,2026-02-25,DNI,CREDITOS,AGENCIA,CALIDAD_SERVICIO,MEDIUM,Mi reclamo previo no fue atendido por FINANCIERA_DEMO_003. Solicito una nueva revisión del caso relacionado con mi crédito y el cargo de S/ 890.56.,es,OVER_64,150102,APP_MOVIL,,pendiente
FIN-2026-0000051,SBS-009012,2026-05-05,DNI,TARJETA_DEBITO,WEB,INCUMPLIMIENTO_CONTRATO,LOW,El cobro de membresía anual en mi tarjeta de débito por S/ 288.67 no estaba acordado. Pido la devolución y aclaración de los términos.,es,25_34,150101,WEB,,pendiente
FIN-2026-0000052,SBS-009012,2026-02-21,PASAPORTE,TARJETA_CREDITO,APP_MOVIL,CALIDAD_SERVICIO,HIGH,Hay una demora excesiva en la atención de mi solicitud sobre tarjeta de crédito. Llevo más de 30 días esperando respuesta sobre el cargo de 307.68.,es,35_44,150133,AGENCIA,,pendiente
FIN-2026-0000053,SBS-009012,2026-04-08,CE,CREDITOS,APP_MOVIL,CALIDAD_SERVICIO,HIGH,Mi reclamo previo no fue atendido por FINANCIERA_DEMO_003. Solicito una nueva revisión del caso relacionado con mi crédito y el cargo de S/ 456.53.,es,55_64,140101,AGENCIA,,pendiente
FIN-2026-0000054,SBS-009012,2026-03-14,CE,DEPOSITOS,CORREO,OPERACION_NO_RECONOCIDA,HIGH,Solicité información sobre comisiones en mi cuenta de depósitos el 2026-03-14. La información que me proporcionó FINANCIERA_DEMO_003 no coincide con lo que aparece en el contrato firmado.,es,OVER_64,040101,POS,,pendiente
FIN-2026-0000055,SBS-009012,2026-03-06,DNI,TARJETA_CREDITO,APP_MOVIL,DEMORA_ATENCION,HIGH,El día 2026-03-06 intenté realizar una operación de 344.97 soles por la app móvil y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,UNDER_25,040101,APP_MOVIL,,pendiente
FIN-2026-0000056,SBS-009012,2026-03-25,CE,TARJETA_DEBITO,TELEFONO,OPERACION_NO_RECONOCIDA,HIGH,El cobro de membresía anual en mi tarjeta de débito por S/ 256.64 no estaba acordado. Pido la devolución y aclaración de los términos.,es,UNDER_25,150102,CAJERO,,pendiente
FIN-2026-0000057,SBS-009012,2026-04-11,CE,SEGUROS,WEB,OPERACION_NO_RECONOCIDA,LOW,"FINANCIERA_DEMO_003 aplicó intereses no informados a mi seguro, lo que sumó S/ 681.94 adicionales en el último estado de cuenta del 2026-04-11.",es,35_44,140101,CAJERO,,pendiente
FIN-2026-0000058,SBS-009012,2026-05-15,CE,DEPOSITOS,APP_MOVIL,CALIDAD_SERVICIO,HIGH,Hay una demora excesiva en la atención de mi solicitud sobre cuenta de depósitos. Llevo más de 30 días esperando respuesta sobre el cargo de 573.69.,es,45_54,150101,POS,,pendiente
FIN-2026-0000059,SBS-009012,2026-02-21,RUC,TARJETA_CREDITO,APP_MOVIL,CALIDAD_SERVICIO,HIGH,Se realizó un cargo no autorizado por S/ 187.20 en mi tarjeta de crédito el 2026-02-21. Solicito la reversa inmediata y revisión del estado de cuenta.,es,35_44,040101,POS,,pendiente
FIN-2026-0000060,SBS-009012,2026-05-19,RUC,SEGUROS,TELEFONO,COBRO_INDEBIDO,MEDIUM,"FINANCIERA_DEMO_003 aplicó intereses no informados a mi seguro, lo que sumó S/ 240.72 adicionales en el último estado de cuenta del 2026-05-19.",es,OVER_64,040101,APP_MOVIL,,pendiente
FIN-2026-0000061,SBS-009012,2026-04-19,DNI,TARJETA_CREDITO,APP_MOVIL,COBRO_INDEBIDO,MEDIUM,Me cancelaron mi tarjeta de crédito sin previo aviso el 2026-04-19. Necesito conocer los motivos y recuperar el saldo de 1400.56 soles.,es,45_54,150115,AGENCIA,,pendiente
FIN-2026-0000062,SBS-009012,2026-02-25,RUC,CREDITOS,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,LOW,Realicé una transferencia por la app móvil el 2026-02-25 por S/ 166.14. El dinero salió de mi cuenta pero no llegó al destinatario.,es,OVER_64,040101,CAJERO,,pendiente
FIN-2026-0000063,SBS-009012,2026-05-04,DNI,TARJETA_CREDITO,APP_MOVIL,CALIDAD_SERVICIO,MEDIUM,El cobro de membresía anual en mi tarjeta de crédito por S/ 47.93 no estaba acordado. Pido la devolución y aclaración de los términos.,es,55_64,070101,APP_MOVIL,,pendiente
FIN-2026-0000064,SBS-009012,2026-03-30,DNI,TARJETA_CREDITO,APP_MOVIL,DEMORA_ATENCION,LOW,"FINANCIERA_DEMO_003 aplicó intereses no informados a mi tarjeta de crédito, lo que sumó S/ 260.97 adicionales en el último estado de cuenta del 2026-03-30.",es,OVER_64,150133,AGENCIA,,pendiente
FIN-2026-0000065,SBS-009012,2026-03-12,PASAPORTE,DEPOSITOS,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,CRITICAL,Realicé una transferencia por la app móvil el 2026-03-12 por S/ 26.98. El dinero salió de mi cuenta pero no llegó al destinatario.,es,55_64,040106,WEB,,pendiente
FIN-2026-0000066,SBS-009012,2026-03-05,DNI,TARJETA_CREDITO,WEB,OPERACION_NO_RECONOCIDA,HIGH,El día 2026-03-05 intenté realizar una operación de 918.97 soles por la web y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,25_34,150102,POS,,pendiente
FIN-2026-0000067,SBS-009012,2026-03-30,PASAPORTE,CREDITOS,CORREO,COBRO_INDEBIDO,HIGH,Mi crédito reporta movimientos que yo no he realizado por un total de S/ 2102.52. Reporté el caso por correo electrónico pero no he recibido respuesta de FINANCIERA_DEMO_003.,es,OVER_64,150115,CAJERO,,pendiente
FIN-2026-0000068,SBS-009012,2026-03-30,CE,TARJETA_CREDITO,PRESENCIAL_SBS,OPERACION_NO_RECONOCIDA,LOW,Mi reclamo previo no fue atendido por FINANCIERA_DEMO_003. Solicito una nueva revisión del caso relacionado con mi tarjeta de crédito y el cargo de S/ 185.63.,es,UNDER_25,150107,AGENCIA,,pendiente
FIN-2026-0000069,SBS-009012,2026-04-27,RUC,DEPOSITOS,WEB,OPERACION_NO_RECONOCIDA,LOW,Realicé una transferencia por la web el 2026-04-27 por S/ 332.17. El dinero salió de mi cuenta pero no llegó al destinatario.,es,35_44,040106,CAJERO,,pendiente
FIN-2026-0000070,SBS-009012,2026-04-01,DNI,TARJETA_DEBITO,AGENCIA,CALIDAD_SERVICIO,HIGH,Se realizó un cargo no autorizado por S/ 675.10 en mi tarjeta de débito el 2026-04-01. Solicito la reversa inmediata y revisión del estado de cuenta.,es,35_44,040106,APP_MOVIL,,pendiente
FIN-2026-0000071,SBS-009012,2026-04-30,DNI,TARJETA_CREDITO,APP_MOVIL,OPERACION_NO_RECONOCIDA,LOW,El cobro de membresía anual en mi tarjeta de crédito por S/ 540.66 no estaba acordado. Pido la devolución y aclaración de los términos.,es,35_44,140101,AGENCIA,,pendiente
FIN-2026-0000072,SBS-009012,2026-04-23,RUC,OTRO,APP_MOVIL,COBRO_INDEBIDO,HIGH,Solicité información sobre comisiones en mi producto bancario el 2026-04-23. La información que me proporcionó FINANCIERA_DEMO_003 no coincide con lo que aparece en el contrato firmado.,es,UNDER_25,150111,AGENCIA,,pendiente
FIN-2026-0000073,SBS-009012,2026-03-11,DNI,CREDITOS,AGENCIA,INCUMPLIMIENTO_CONTRATO,MEDIUM,Solicité información sobre comisiones en mi crédito el 2026-03-11. La información que me proporcionó FINANCIERA_DEMO_003 no coincide con lo que aparece en el contrato firmado.,es,25_34,150101,AGENCIA,,pendiente
FIN-2026-0000074,SBS-009012,2026-04-12,DNI,CREDITOS,WEB,CALIDAD_SERVICIO,CRITICAL,"La publicidad de mi crédito prometía cero comisiones, pero el 2026-04-12 me cobraron S/ 913.76 por mantenimiento. Esto es publicidad engañosa.",es,25_34,150102,AGENCIA,,pendiente
FIN-2026-0000075,SBS-009012,2026-03-06,DNI,CREDITOS,WEB,OPERACION_NO_RECONOCIDA,HIGH,Realicé una transferencia por la web el 2026-03-06 por S/ 1957.46. El dinero salió de mi cuenta pero no llegó al destinatario.,es,25_34,070101,POS,,pendiente
FIN-2026-0000076,SBS-009012,2026-05-13,DNI,TARJETA_CREDITO,APP_MOVIL,DEMORA_ATENCION,LOW,El 2026-05-13 realicé un retiro por la app móvil de 245.79 soles y nunca recibí el dinero. FINANCIERA_DEMO_003 dice que la operación fue exitosa pero no es así.,es,45_54,150102,WEB,,pendiente
FIN-2026-0000077,SBS-009012,2026-03-14,RUC,TARJETA_DEBITO,AGENCIA,COBRO_INDEBIDO,MEDIUM,Hay una demora excesiva en la atención de mi solicitud sobre tarjeta de débito. Llevo más de 30 días esperando respuesta sobre el cargo de 80.86.,es,UNDER_25,040106,AGENCIA,,pendiente
FIN-2026-0000078,SBS-009012,2026-03-14,PASAPORTE,TARJETA_CREDITO,WEB,INCUMPLIMIENTO_CONTRATO,LOW,Solicité información sobre comisiones en mi tarjeta de crédito el 2026-03-14. La información que me proporcionó FINANCIERA_DEMO_003 no coincide con lo que aparece en el contrato firmado.,es,UNDER_25,040106,APP_MOVIL,,pendiente
FIN-2026-0000079,SBS-009012,2026-03-08,CE,TARJETA_CREDITO,AGENCIA,COBRO_INDEBIDO,HIGH,Mi tarjeta de crédito reporta movimientos que yo no he realizado por un total de S/ 820.29. Reporté el caso por agencia pero no he recibido respuesta de FINANCIERA_DEMO_003.,es,OVER_64,150107,POS,,pendiente
FIN-2026-0000080,SBS-009012,2026-02-22,DNI,DEPOSITOS,APP_MOVIL,COBRO_INDEBIDO,LOW,"La publicidad de mi cuenta de depósitos prometía cero comisiones, pero el 2026-02-22 me cobraron S/ 414.16 por mantenimiento. Esto es publicidad engañosa.",es,OVER_64,150101,AGENCIA,,pendiente
FIN-2026-0000081,SBS-009012,2026-03-01,DNI,SEGUROS,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,HIGH,Mi seguro reporta movimientos que yo no he realizado por un total de S/ 530.96. Reporté el caso por la app móvil pero no he recibido respuesta de FINANCIERA_DEMO_003.,es,OVER_64,040106,POS,,pendiente
FIN-2026-0000082,SBS-009012,2026-05-10,RUC,CREDITOS,PRESENCIAL_SBS,DEMORA_ATENCION,HIGH,Realicé una transferencia por presencial en SBS el 2026-05-10 por S/ 591.14. El dinero salió de mi cuenta pero no llegó al destinatario.,es,35_44,150102,WEB,,pendiente
FIN-2026-0000083,SBS-009012,2026-03-08,DNI,SEGUROS,AGENCIA,CALIDAD_SERVICIO,HIGH,Me cancelaron mi seguro sin previo aviso el 2026-03-08. Necesito conocer los motivos y recuperar el saldo de 166.23 soles.,es,35_44,150133,AGENCIA,,pendiente
FIN-2026-0000084,SBS-009012,2026-03-10,DNI,DEPOSITOS,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,HIGH,Se realizó un cargo no autorizado por S/ 2692.05 en mi cuenta de depósitos el 2026-03-10. Solicito la reversa inmediata y revisión del estado de cuenta.,es,45_54,150111,POS,,pendiente
FIN-2026-0000085,SBS-009012,2026-03-10,DNI,TARJETA_CREDITO,AGENCIA,CALIDAD_SERVICIO,HIGH,Solicité información sobre comisiones en mi tarjeta de crédito el 2026-03-10. La información que me proporcionó FINANCIERA_DEMO_003 no coincide con lo que aparece en el contrato firmado.,es,UNDER_25,150111,AGENCIA,,pendiente
FIN-2026-0000086,SBS-009012,2026-03-12,RUC,SEGUROS,CORREO,CALIDAD_SERVICIO,LOW,"La publicidad de mi seguro prometía cero comisiones, pero el 2026-03-12 me cobraron S/ 536.50 por mantenimiento. Esto es publicidad engañosa.",es,35_44,150101,POS,,pendiente
FIN-2026-0000087,SBS-009012,2026-04-23,RUC,TARJETA_CREDITO,WEB,COBRO_INDEBIDO,LOW,El día 2026-04-23 intenté realizar una operación de 883.36 soles por la web y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,UNDER_25,150133,POS,,pendiente
FIN-2026-0000088,SBS-009012,2026-03-15,DNI,TARJETA_CREDITO,AGENCIA,COBRO_INDEBIDO,HIGH,El día 2026-03-15 intenté realizar una operación de 2257.13 soles por agencia y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,55_64,140101,CAJERO,,pendiente
